"No.","Time","Source","Destination","Protocol","Length","Info","OpCode","OpGroup","Bytes"
"158","2024-12-20 19:31:42.492789","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Set Extended Scan Parameters","LE Controller Commands","41:20"
"159","2024-12-20 19:31:42.497525","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04"
"160","2024-12-20 19:31:42.498114","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"161","2024-12-20 19:31:42.503242","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"162","2024-12-20 19:31:42.503518","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"163","2024-12-20 19:31:42.507569","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"164","2024-12-20 19:31:42.507927","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Set Extended Scan Parameters","LE Controller Commands","41:20"
"165","2024-12-20 19:31:42.512821","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04"
"166","2024-12-20 19:31:42.513115","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"167","2024-12-20 19:31:42.517588","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"168","2024-12-20 19:31:43.665274","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05"
"169","2024-12-20 19:31:44.229511","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"170","2024-12-20 19:31:44.232447","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"171","2024-12-20 19:31:44.232651","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Set Extended Scan Parameters","LE Controller Commands","41:20"
"172","2024-12-20 19:31:44.237470","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04"
"173","2024-12-20 19:31:44.237661","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"174","2024-12-20 19:31:44.242544","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"175","2024-12-20 19:32:20.983081","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"176","2024-12-20 19:32:21.207234","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"177","2024-12-20 19:32:21.209484","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Set Extended Scan Parameters","LE Controller Commands","41:20"
"178","2024-12-20 19:32:21.218271","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04"
"179","2024-12-20 19:32:21.218547","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"180","2024-12-20 19:32:21.224550","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"181","2024-12-20 19:32:21.224814","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"182","2024-12-20 19:32:21.231014","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"183","2024-12-20 19:32:21.232919","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"184","2024-12-20 19:32:21.240699","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"185","2024-12-20 19:32:21.241005","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"186","2024-12-20 19:32:21.247254","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"187","2024-12-20 19:32:21.247627","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"188","2024-12-20 19:32:21.253300","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"189","2024-12-20 19:32:27.586004","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"190","2024-12-20 19:32:27.594538","controller","host","HCI_EVT","9","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:06"
"191","2024-12-20 19:32:27.618370","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"192","2024-12-20 19:32:27.627072","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"193","2024-12-20 19:32:27.627345","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"194","2024-12-20 19:32:27.633267","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"195","2024-12-20 19:32:27.633547","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"196","2024-12-20 19:32:27.640313","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"197","2024-12-20 19:32:27.640662","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"198","2024-12-20 19:32:27.649464","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"199","2024-12-20 19:32:27.649717","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
