"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","Sub Event","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"140","2025-01-05 04:13:49.205840","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","07:00","","","","","","","","","","","","","","","","","","",""
"142","2025-01-05 04:13:49.210848","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:00","","","","","","","","","","","","","","","","","","",""
"144","2025-01-05 04:13:49.244942","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"145","2025-01-05 04:13:49.245448","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"147","2025-01-05 04:13:49.250879","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"149","2025-01-05 04:13:49.255836","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"151","2025-01-05 04:13:49.260859","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"153","2025-01-05 04:13:49.265849","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"154","2025-01-05 04:13:51.856096","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"156","2025-01-05 04:13:53.129846","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"158","2025-01-05 04:13:53.160867","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"160","2025-01-05 04:13:53.163317","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"162","2025-01-05 04:13:53.217157","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Voice Setting)","","","0e:04","Command Complete","Write Voice Setting","","0e","","","","","","","","","","","","","","","","","","","",""
"164","2025-01-05 04:13:53.219609","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"166","2025-01-05 04:13:53.222070","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"168","2025-01-05 04:13:53.307137","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"170","2025-01-05 04:13:53.315770","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"172","2025-01-05 04:13:53.318311","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"174","2025-01-05 04:13:53.320920","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"176","2025-01-05 04:13:53.323292","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"178","2025-01-05 04:13:53.344529","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"180","2025-01-05 04:13:53.498622","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Activity)","","","0e:04","Command Complete","Write Inquiry Scan Activity","","0e","","","","","","","","","","","","","","","","","","","",""
"182","2025-01-05 04:13:53.500926","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","","0e:04","Command Complete","Write Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"184","2025-01-05 04:13:53.503334","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","","0e:04","Command Complete","Write Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
